  INFO root [2019-05-08 10:15:25,346] - 
 DEBUG root [2019-05-08 10:15:26,225] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallAccountBase.cs
 DEBUG root [2019-05-08 10:15:26,225] - ClientSDK::writeEntityModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Hall
 DEBUG root [2019-05-08 10:15:26,225] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/HallBase.cs
 DEBUG root [2019-05-08 10:15:26,235] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallHallBase.cs
 DEBUG root [2019-05-08 10:15:26,245] - ClientSDK::writeEntityModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Room
 DEBUG root [2019-05-08 10:15:26,245] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/RoomBase.cs
 DEBUG root [2019-05-08 10:15:26,245] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallRoomBase.cs
  INFO root [2019-05-08 10:15:26,259] - Script::uninstall(): is successfully!
 DEBUG root [2019-05-08 10:15:26,259] - ThreadPool::destroy(): starting size 2.
  WARN root [2019-05-08 10:15:26,575] - ThreadPool::destroy(): waiting for thread(2)[0x16ce2b0,0x16ce4b8,], try=1
 DEBUG root [2019-05-08 10:15:27,015] - TPThread::~TPThread(): 0x16ce2b0
 DEBUG root [2019-05-08 10:15:27,015] - TPThread::~TPThread(): 0x16ce4b8
 DEBUG root [2019-05-08 10:15:27,015] - ThreadPool::destroy(): successfully!
 DEBUG root [2019-05-08 10:15:27,026] - Bundle::destroyObjPool(): size 13.
 DEBUG root [2019-05-08 10:15:27,026] - Channel::destroyObjPool(): size 0.
 DEBUG root [2019-05-08 10:15:27,026] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-05-08 10:15:27,026] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-05-08 10:15:27,026] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2019-05-08 10:15:27,026] - Address::destroyObjPool(): size 0.
 DEBUG root [2019-05-08 10:15:27,026] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2019-05-08 10:15:27,026] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2019-05-08 10:15:27,026] - tool(18446744073709551615) has shut down. ClientSDK=true
  INFO root [2019-05-08 10:15:28,045] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2019-05-10 21:11:18,350] - 
  INFO root [2019-05-10 21:11:18,363] - -----------------------------------------------------------------------------------------


  INFO root [2019-05-10 21:11:18,363] - Resmgr::initialize: KBE_ROOT=D:/kbengine/
  INFO root [2019-05-10 21:11:18,363] - Resmgr::initialize: KBE_RES_PATH=D:/kbengine/kbe/res/;D:/kbengine/HappyPoker_assets/;D:/kbengine/HappyPoker_assets/scripts/;D:/kbengine/HappyPoker_assets/res/
  INFO root [2019-05-10 21:11:18,364] - Resmgr::initialize: KBE_BIN_PATH=D:/kbengine/kbe/bin/server/
  INFO root [2019-05-10 21:11:18,377] - NetworkInterface::initialize(INTERNAL-TCP): bound to all interfaces with default route interface on 192.168.56.1 ( 192.168.56.1:57807 )
  INFO root [2019-05-10 21:11:18,377] - NetworkInterface::initialize(INTERNAL-TCP): address 192.168.56.1:57807, SOMAXCONN=5.
  INFO root [2019-05-10 21:11:18,382] - ---- tool Version: 2.4.5. ScriptVersion: 0.1.0. Pythoncore: 3.7.3. Protocol: ACE55A2934030C0DA3446BA0E5FAB5DD. Config: Debug X86. Built: 09:55:11 May  8 2019. AppID: 18446744073709551615. UID: 0. PID: 14140 ----
  INFO root [2019-05-10 21:11:18,382] - Server error_name: Intel(R) Core(TM) i5-6300HQ CPU @ 2.30GHz with 2097151kB RAM
  INFO root [2019-05-10 21:11:18,382] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2019-05-10 21:11:18,383] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2019-05-10 21:11:18,576] - Script::install(): is successfully, Python=(3.7.3 (default, May  8 2019, 09:53:38) [MSC v.1916 32 bit (Intel)])!
  INFO root [2019-05-10 21:11:18,576] - Script::install(): KBExtra is successfully!
 DEBUG root [2019-05-10 21:11:19,791] - ClientSDK::writeServerErrorDescrsModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//ServerErrorDescrs.cs
 DEBUG root [2019-05-10 21:11:19,792] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/ServerErrorDescrs.cs
 DEBUG root [2019-05-10 21:11:19,799] - ClientSDK::writeEngineMessagesModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Messages.cs
 DEBUG root [2019-05-10 21:11:19,805] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/Messages.cs
 DEBUG root [2019-05-10 21:11:19,813] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/KBETypes.cs
 DEBUG root [2019-05-10 21:11:19,818] - ClientSDK::writeEntityDefsModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//EntityDef.cs
 DEBUG root [2019-05-10 21:11:19,821] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityDef.cs
 DEBUG root [2019-05-10 21:11:19,833] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/CustomDataTypes.cs
 DEBUG root [2019-05-10 21:11:19,839] - ClientSDK::writeEntityModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Account
 DEBUG root [2019-05-10 21:11:19,840] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/AccountBase.cs
 DEBUG root [2019-05-10 21:11:19,849] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallAccountBase.cs
 DEBUG root [2019-05-10 21:11:19,855] - ClientSDK::writeEntityModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Hall
 DEBUG root [2019-05-10 21:11:19,856] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/HallBase.cs
 DEBUG root [2019-05-10 21:11:19,863] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallHallBase.cs
 DEBUG root [2019-05-10 21:11:19,868] - ClientSDK::writeEntityModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Room
 DEBUG root [2019-05-10 21:11:19,869] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/RoomBase.cs
 DEBUG root [2019-05-10 21:11:19,876] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallRoomBase.cs
  INFO root [2019-05-10 21:11:19,895] - Script::uninstall(): is successfully!
 DEBUG root [2019-05-10 21:11:19,895] - ThreadPool::destroy(): starting size 2.
  WARN root [2019-05-10 21:11:20,197] - ThreadPool::destroy(): waiting for thread(2)[0x19f16d8,0x19f1cf0,], try=1
 DEBUG root [2019-05-10 21:11:20,599] - TPThread::~TPThread(): 0x19f16d8
 DEBUG root [2019-05-10 21:11:20,599] - TPThread::~TPThread(): 0x19f1cf0
 DEBUG root [2019-05-10 21:11:20,599] - ThreadPool::destroy(): successfully!
 DEBUG root [2019-05-10 21:11:20,611] - Bundle::destroyObjPool(): size 13.
 DEBUG root [2019-05-10 21:11:20,611] - Channel::destroyObjPool(): size 0.
 DEBUG root [2019-05-10 21:11:20,611] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-05-10 21:11:20,611] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-05-10 21:11:20,612] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2019-05-10 21:11:20,612] - Address::destroyObjPool(): size 0.
 DEBUG root [2019-05-10 21:11:20,612] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2019-05-10 21:11:20,612] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2019-05-10 21:11:20,612] - tool(18446744073709551615) has shut down. ClientSDK=true
  INFO root [2019-05-10 21:11:21,613] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2019-05-13 10:20:38,326] - 
  INFO root [2019-05-13 10:20:38,341] - -----------------------------------------------------------------------------------------


  INFO root [2019-05-13 10:20:38,355] - Resmgr::initialize: KBE_ROOT=D:/kbengine/
  INFO root [2019-05-13 10:20:38,355] - Resmgr::initialize: KBE_RES_PATH=D:/kbengine/kbe/res/;D:/kbengine/HappyPoker_assets/;D:/kbengine/HappyPoker_assets/scripts/;D:/kbengine/HappyPoker_assets/res/
  INFO root [2019-05-13 10:20:38,355] - Resmgr::initialize: KBE_BIN_PATH=D:/kbengine/kbe/bin/server/
  INFO root [2019-05-13 10:20:38,388] - NetworkInterface::initialize(INTERNAL-TCP): bound to all interfaces with default route interface on 192.168.56.1 ( 192.168.56.1:49426 )
  INFO root [2019-05-13 10:20:38,388] - NetworkInterface::initialize(INTERNAL-TCP): address 192.168.56.1:49426, SOMAXCONN=5.
  INFO root [2019-05-13 10:20:38,406] - ---- tool Version: 2.4.5. ScriptVersion: 0.1.0. Pythoncore: 3.7.3. Protocol: ACE55A2934030C0DA3446BA0E5FAB5DD. Config: Debug X86. Built: 09:55:11 May  8 2019. AppID: 18446744073709551615. UID: 0. PID: 10276 ----
  INFO root [2019-05-13 10:20:38,410] - Server error_name: Intel(R) Core(TM) i5-6300HQ CPU @ 2.30GHz with 2097151kB RAM
  INFO root [2019-05-13 10:20:38,419] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2019-05-13 10:20:38,419] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2019-05-13 10:20:38,640] - Script::install(): is successfully, Python=(3.7.3 (default, May  8 2019, 09:53:38) [MSC v.1916 32 bit (Intel)])!
  INFO root [2019-05-13 10:20:38,640] - Script::install(): KBExtra is successfully!
 DEBUG root [2019-05-13 10:20:40,053] - ClientSDK::writeServerErrorDescrsModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//ServerErrorDescrs.cs
 DEBUG root [2019-05-13 10:20:40,064] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/ServerErrorDescrs.cs
 DEBUG root [2019-05-13 10:20:40,066] - ClientSDK::writeEngineMessagesModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Messages.cs
 DEBUG root [2019-05-13 10:20:40,102] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/Messages.cs
 DEBUG root [2019-05-13 10:20:40,108] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/KBETypes.cs
 DEBUG root [2019-05-13 10:20:40,117] - ClientSDK::writeEntityDefsModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//EntityDef.cs
 DEBUG root [2019-05-13 10:20:40,121] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityDef.cs
 DEBUG root [2019-05-13 10:20:40,151] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/CustomDataTypes.cs
 DEBUG root [2019-05-13 10:20:40,166] - ClientSDK::writeEntityModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Account
 DEBUG root [2019-05-13 10:20:40,170] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/AccountBase.cs
 DEBUG root [2019-05-13 10:20:40,185] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallAccountBase.cs
 DEBUG root [2019-05-13 10:20:40,191] - ClientSDK::writeEntityModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Hall
 DEBUG root [2019-05-13 10:20:40,192] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/HallBase.cs
 DEBUG root [2019-05-13 10:20:40,195] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallHallBase.cs
 DEBUG root [2019-05-13 10:20:40,198] - ClientSDK::writeEntityModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Room
 DEBUG root [2019-05-13 10:20:40,199] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/RoomBase.cs
 DEBUG root [2019-05-13 10:20:40,208] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallRoomBase.cs
  INFO root [2019-05-13 10:20:40,259] - Script::uninstall(): is successfully!
 DEBUG root [2019-05-13 10:20:40,259] - ThreadPool::destroy(): starting size 2.
  WARN root [2019-05-13 10:20:40,560] - ThreadPool::destroy(): waiting for thread(2)[0xbb1a48,0xbb13c8,], try=1
 DEBUG root [2019-05-13 10:20:40,962] - TPThread::~TPThread(): 0xbb1a48
 DEBUG root [2019-05-13 10:20:40,962] - TPThread::~TPThread(): 0xbb13c8
 DEBUG root [2019-05-13 10:20:40,963] - ThreadPool::destroy(): successfully!
 DEBUG root [2019-05-13 10:20:41,038] - Bundle::destroyObjPool(): size 13.
 DEBUG root [2019-05-13 10:20:41,039] - Channel::destroyObjPool(): size 0.
 DEBUG root [2019-05-13 10:20:41,040] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-05-13 10:20:41,040] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-05-13 10:20:41,040] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2019-05-13 10:20:41,040] - Address::destroyObjPool(): size 0.
 DEBUG root [2019-05-13 10:20:41,041] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2019-05-13 10:20:41,041] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2019-05-13 10:20:41,041] - tool(18446744073709551615) has shut down. ClientSDK=true
  INFO root [2019-05-13 10:20:42,110] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2019-05-13 10:48:54,614] - 
  INFO root [2019-05-13 10:48:54,615] - -----------------------------------------------------------------------------------------


  INFO root [2019-05-13 10:48:54,615] - Resmgr::initialize: KBE_ROOT=D:/kbengine/
  INFO root [2019-05-13 10:48:54,616] - Resmgr::initialize: KBE_RES_PATH=D:/kbengine/kbe/res/;D:/kbengine/HappyPoker_assets/;D:/kbengine/HappyPoker_assets/scripts/;D:/kbengine/HappyPoker_assets/res/
  INFO root [2019-05-13 10:48:54,616] - Resmgr::initialize: KBE_BIN_PATH=D:/kbengine/kbe/bin/server/
  INFO root [2019-05-13 10:48:54,630] - NetworkInterface::initialize(INTERNAL-TCP): bound to all interfaces with default route interface on 192.168.56.1 ( 192.168.56.1:49555 )
  INFO root [2019-05-13 10:48:54,630] - NetworkInterface::initialize(INTERNAL-TCP): address 192.168.56.1:49555, SOMAXCONN=5.
  INFO root [2019-05-13 10:48:54,635] - ---- tool Version: 2.4.5. ScriptVersion: 0.1.0. Pythoncore: 3.7.3. Protocol: ACE55A2934030C0DA3446BA0E5FAB5DD. Config: Debug X86. Built: 09:55:11 May  8 2019. AppID: 18446744073709551615. UID: 0. PID: 14888 ----
  INFO root [2019-05-13 10:48:54,635] - Server error_name: Intel(R) Core(TM) i5-6300HQ CPU @ 2.30GHz with 2097151kB RAM
  INFO root [2019-05-13 10:48:54,635] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2019-05-13 10:48:54,636] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2019-05-13 10:48:54,837] - Script::install(): is successfully, Python=(3.7.3 (default, May  8 2019, 09:53:38) [MSC v.1916 32 bit (Intel)])!
  INFO root [2019-05-13 10:48:54,837] - Script::install(): KBExtra is successfully!
 DEBUG root [2019-05-13 10:48:55,648] - ClientSDK::writeServerErrorDescrsModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//ServerErrorDescrs.cs
 DEBUG root [2019-05-13 10:48:55,648] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/ServerErrorDescrs.cs
 DEBUG root [2019-05-13 10:48:55,650] - ClientSDK::writeEngineMessagesModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Messages.cs
 DEBUG root [2019-05-13 10:48:55,656] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/Messages.cs
 DEBUG root [2019-05-13 10:48:55,659] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/KBETypes.cs
 DEBUG root [2019-05-13 10:48:55,664] - ClientSDK::writeEntityDefsModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//EntityDef.cs
 DEBUG root [2019-05-13 10:48:55,667] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityDef.cs
 DEBUG root [2019-05-13 10:48:55,672] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/CustomDataTypes.cs
 DEBUG root [2019-05-13 10:48:55,677] - ClientSDK::writeEntityModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Account
 DEBUG root [2019-05-13 10:48:55,679] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/AccountBase.cs
 DEBUG root [2019-05-13 10:48:55,725] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallAccountBase.cs
 DEBUG root [2019-05-13 10:48:55,727] - ClientSDK::writeEntityModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Hall
 DEBUG root [2019-05-13 10:48:55,729] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/HallBase.cs
 DEBUG root [2019-05-13 10:48:55,731] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallHallBase.cs
 DEBUG root [2019-05-13 10:48:55,736] - ClientSDK::writeEntityModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Room
 DEBUG root [2019-05-13 10:48:55,737] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/RoomBase.cs
 DEBUG root [2019-05-13 10:48:55,744] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallRoomBase.cs
  INFO root [2019-05-13 10:48:55,756] - Script::uninstall(): is successfully!
 DEBUG root [2019-05-13 10:48:55,756] - ThreadPool::destroy(): starting size 2.
  WARN root [2019-05-13 10:48:56,058] - ThreadPool::destroy(): waiting for thread(2)[0x71a2a0,0x71a4a8,], try=1
 DEBUG root [2019-05-13 10:48:56,460] - TPThread::~TPThread(): 0x71a2a0
 DEBUG root [2019-05-13 10:48:56,460] - TPThread::~TPThread(): 0x71a4a8
 DEBUG root [2019-05-13 10:48:56,460] - ThreadPool::destroy(): successfully!
 DEBUG root [2019-05-13 10:48:56,471] - Bundle::destroyObjPool(): size 13.
 DEBUG root [2019-05-13 10:48:56,472] - Channel::destroyObjPool(): size 0.
 DEBUG root [2019-05-13 10:48:56,472] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-05-13 10:48:56,472] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-05-13 10:48:56,472] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2019-05-13 10:48:56,472] - Address::destroyObjPool(): size 0.
 DEBUG root [2019-05-13 10:48:56,472] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2019-05-13 10:48:56,473] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2019-05-13 10:48:56,473] - tool(18446744073709551615) has shut down. ClientSDK=true
  INFO root [2019-05-13 10:48:57,475] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2019-05-13 19:42:47,814] - 
  INFO root [2019-05-13 19:42:47,830] - -----------------------------------------------------------------------------------------


  INFO root [2019-05-13 19:42:47,841] - Resmgr::initialize: KBE_ROOT=D:/kbengine/
  INFO root [2019-05-13 19:42:47,841] - Resmgr::initialize: KBE_RES_PATH=D:/kbengine/kbe/res/;D:/kbengine/HappyPoker_assets/;D:/kbengine/HappyPoker_assets/scripts/;D:/kbengine/HappyPoker_assets/res/
  INFO root [2019-05-13 19:42:47,841] - Resmgr::initialize: KBE_BIN_PATH=D:/kbengine/kbe/bin/server/
  INFO root [2019-05-13 19:42:47,868] - NetworkInterface::initialize(INTERNAL-TCP): bound to all interfaces with default route interface on 192.168.56.1 ( 192.168.56.1:52341 )
  INFO root [2019-05-13 19:42:47,868] - NetworkInterface::initialize(INTERNAL-TCP): address 192.168.56.1:52341, SOMAXCONN=5.
  INFO root [2019-05-13 19:42:47,888] - ---- tool Version: 2.4.5. ScriptVersion: 0.1.0. Pythoncore: 3.7.3. Protocol: ACE55A2934030C0DA3446BA0E5FAB5DD. Config: Debug X86. Built: 09:55:11 May  8 2019. AppID: 18446744073709551615. UID: 0. PID: 2500 ----
  INFO root [2019-05-13 19:42:47,896] - Server error_name: Intel(R) Core(TM) i5-6300HQ CPU @ 2.30GHz with 2097151kB RAM
  INFO root [2019-05-13 19:42:47,897] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2019-05-13 19:42:47,897] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2019-05-13 19:42:48,501] - Script::install(): is successfully, Python=(3.7.3 (default, May  8 2019, 09:53:38) [MSC v.1916 32 bit (Intel)])!
  INFO root [2019-05-13 19:42:48,501] - Script::install(): KBExtra is successfully!
 DEBUG root [2019-05-13 19:42:50,345] - ClientSDK::writeServerErrorDescrsModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//ServerErrorDescrs.cs
 DEBUG root [2019-05-13 19:42:50,359] - ClientSDK::saveFile(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins/ServerErrorDescrs.cs
 DEBUG root [2019-05-13 19:42:50,361] - ClientSDK::writeEngineMessagesModule(): D:\Unity\HappyPoker\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Messages.cs
